vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
2.099609375,97,148,220,6142.8656750917435,27.92211670496247

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[444,10]","[411,12]",32.82842707633972,BRANCH,BRANCH
2,"[444,10]","[474,17]",32.31370830535889,BRANCH,BRANCH
3,"[444,10]","[469,36]",36.11269783973694,BRANCH,BRANCH
4,"[401,2]","[411,12]",13.727921843528748,TIP,BRANCH
5,"[411,12]","[398,27]",19.38477599620819,BRANCH,BRANCH
6,"[474,17]","[479,70]",86.01219260692596,BRANCH,BRANCH
7,"[474,17]","[469,36]",19.656854152679443,BRANCH,BRANCH
8,"[337,28]","[398,27]",75.08326029777527,TIP,BRANCH
9,"[398,27]","[413,62]",39.79898953437805,BRANCH,BRANCH
10,"[469,36]","[469,54]",17.0,BRANCH,BRANCH
11,"[68,10]","[91,38]",52.14213538169861,TIP,BRANCH
12,"[121,61]","[91,38]",42.62741661071777,TIP,BRANCH
13,"[78,83]","[91,38]",49.97056245803833,TIP,BRANCH
14,"[262,25]","[283,39]",29.313708305358887,TIP,BRANCH
15,"[303,36]","[283,39]",21.071067690849304,TIP,BRANCH
16,"[263,50]","[283,39]",23.727921843528748,TIP,BRANCH
17,"[469,54]","[416,62]",56.97056245803833,BRANCH,BRANCH
18,"[469,54]","[479,70]",19.14213538169861,BRANCH,BRANCH
19,"[413,62]","[416,62]",2.0,BRANCH,BRANCH
20,"[413,62]","[337,75]",80.79898953437805,BRANCH,BRANCH
21,"[416,62]","[423,81]",20.899494767189026,BRANCH,BRANCH
22,"[38,1]","[13,70]",93.04163014888763,TIP,BRANCH
23,"[9,70]","[13,70]",3.0,TIP,BRANCH
24,"[13,70]","[15,106]",39.14213538169861,BRANCH,BRANCH
25,"[479,70]","[467,97]",30.55634891986847,BRANCH,BRANCH
26,"[321,77]","[337,75]",15.828427076339722,TIP,BRANCH
27,"[339,93]","[337,75]",17.82842707633972,TIP,BRANCH
28,"[423,81]","[467,97]",49.62741661071777,BRANCH,BRANCH
29,"[423,81]","[420,104]",23.242640614509583,BRANCH,BRANCH
30,"[467,97]","[467,123]",25.0,BRANCH,BRANCH
31,"[420,104]","[379,124]",48.455843687057495,BRANCH,BRANCH
32,"[420,104]","[467,123]",55.11269783973694,BRANCH,BRANCH
33,"[3,96]","[15,106]",16.313708305358887,TIP,BRANCH
34,"[15,106]","[20,117]",12.071067690849304,BRANCH,BRANCH
35,"[296,111]","[276,125]",27.727921843528748,BRANCH,BRANCH
36,"[302,101]","[296,111]",11.071067690849304,TIP,BRANCH
37,"[296,111]","[330,117]",35.899494767189026,BRANCH,BRANCH
38,"[88,157]","[20,117]",87.66904675960541,TIP,BRANCH
39,"[20,117]","[12,155]",39.899494767189026,BRANCH,BRANCH
40,"[330,117]","[379,124]",51.72792184352875,BRANCH,BRANCH
41,"[330,117]","[255,138]",116.15432798862457,BRANCH,BRANCH
42,"[467,123]","[470,137]",13.828427076339722,BRANCH,BRANCH
43,"[379,124]","[370,146]",24.727921843528748,BRANCH,BRANCH
44,"[276,125]","[255,138]",27.14213538169861,BRANCH,BRANCH
45,"[283,135]","[276,125]",11.899494767189026,TIP,BRANCH
46,"[470,137]","[479,147]",13.313708305358887,BRANCH,BRANCH
47,"[470,137]","[424,159]",56.28427076339722,BRANCH,BRANCH
48,"[187,154]","[255,138]",76.69848430156708,TIP,BRANCH
49,"[370,146]","[354,197]",82.42640614509583,BRANCH,BRANCH
50,"[370,146]","[388,182]",42.041630148887634,BRANCH,BRANCH
51,"[479,147]","[485,147]",5.0,BRANCH,BRANCH
52,"[479,147]","[454,207]",70.5979790687561,BRANCH,BRANCH
53,"[510,108]","[485,147]",48.35533845424652,TIP,BRANCH
54,"[485,147]","[495,172]",28.14213538169861,BRANCH,BRANCH
55,"[3,158]","[12,155]",8.828427076339722,TIP,BRANCH
56,"[24,175]","[12,155]",23.55634891986847,TIP,BRANCH
57,"[424,159]","[402,181]",34.21320307254791,BRANCH,BRANCH
58,"[424,159]","[419,196]",40.14213538169861,BRANCH,BRANCH
59,"[495,172]","[459,207]",51.840619683265686,BRANCH,BRANCH
60,"[495,172]","[502,208]",38.31370830535889,BRANCH,BRANCH
61,"[402,181]","[388,182]",13.41421353816986,BRANCH,BRANCH
62,"[402,181]","[419,196]",22.79898953437805,BRANCH,BRANCH
