vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
0.0629425048828125,1,9,6,181.1959581375122,30.199326356252033

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[474,489]","[449,506]",32.79898953437805,TIP,BRANCH
2,"[431,510]","[449,506]",18.656854152679443,TIP,BRANCH
3,"[453,509]","[449,506]",3.8284270763397217,TIP,BRANCH
4,"[509,475]","[489,481]",22.485281229019165,TIP,TIP
5,"[323,481]","[392,510]",81.01219260692596,TIP,TIP
6,"[510,510]","[488,511]",22.41421353816986,TIP,TIP
