vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
2.4509429931640625,125,132,254,7199.154121756554,28.343126463608478

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[65,2]","[59,5]",6.2426406145095825,TIP,BRANCH
2,"[7,16]","[59,5]",59.55634891986847,TIP,BRANCH
3,"[59,5]","[61,28]",22.82842707633972,BRANCH,BRANCH
4,"[139,7]","[138,11]",3.414213538169861,TIP,BRANCH
5,"[148,18]","[138,11]",12.485281229019165,TIP,BRANCH
6,"[131,16]","[138,11]",8.656854152679443,TIP,BRANCH
7,"[400,11]","[370,49]",55.870057225227356,BRANCH,BRANCH
8,"[400,11]","[438,15]",39.899494767189026,BRANCH,BRANCH
9,"[400,11]","[414,33]",26.38477599620819,BRANCH,BRANCH
10,"[438,15]","[443,17]",4.828427076339722,BRANCH,BRANCH
11,"[438,15]","[414,33]",30.041630148887634,BRANCH,BRANCH
12,"[443,17]","[462,17]",18.0,BRANCH,BRANCH
13,"[443,17]","[454,64]",51.14213538169861,BRANCH,BRANCH
14,"[462,17]","[496,36]",74.11269783973694,BRANCH,BRANCH
15,"[462,17]","[479,35]",24.213203072547913,BRANCH,BRANCH
16,"[38,22]","[39,25]",2.414213538169861,TIP,BRANCH
17,"[39,25]","[61,28]",22.242640614509583,BRANCH,BRANCH
18,"[21,29]","[39,25]",19.485281229019165,TIP,BRANCH
19,"[61,28]","[66,45]",17.656854152679443,BRANCH,BRANCH
20,"[414,33]","[414,54]",20.0,BRANCH,BRANCH
21,"[293,52]","[300,35]",19.485281229019165,TIP,BRANCH
22,"[259,39]","[300,35]",42.071067690849304,TIP,BRANCH
23,"[321,24]","[300,35]",25.313708305358887,TIP,BRANCH
24,"[479,35]","[496,36]",16.41421353816986,BRANCH,BRANCH
25,"[479,35]","[454,64]",37.94112491607666,BRANCH,BRANCH
26,"[496,36]","[469,75]",49.18376553058624,BRANCH,BRANCH
27,"[66,45]","[85,45]",18.0,BRANCH,BRANCH
28,"[66,45]","[64,70]",24.82842707633972,BRANCH,BRANCH
29,"[106,0]","[85,45]",55.041630148887634,TIP,BRANCH
30,"[85,45]","[93,66]",22.899494767189026,BRANCH,BRANCH
31,"[343,67]","[370,49]",36.38477599620819,TIP,BRANCH
32,"[370,49]","[378,65]",18.313708305358887,BRANCH,BRANCH
33,"[414,54]","[391,65]",26.55634891986847,BRANCH,BRANCH
34,"[414,54]","[440,67]",29.97056245803833,BRANCH,BRANCH
35,"[21,45]","[7,59]",24.313708305358887,TIP,BRANCH
36,"[5,63]","[7,59]",3.8284270763397217,TIP,BRANCH
37,"[0,46]","[7,59]",14.485281229019165,TIP,BRANCH
38,"[454,64]","[451,69]",5.2426406145095825,BRANCH,BRANCH
39,"[378,65]","[391,65]",12.0,BRANCH,BRANCH
40,"[348,89]","[378,65]",39.69848430156708,TIP,BRANCH
41,"[391,65]","[392,71]",5.414213538169861,BRANCH,BRANCH
42,"[116,87]","[93,66]",38.21320307254791,TIP,BRANCH
43,"[93,66]","[64,70]",29.656854152679443,BRANCH,BRANCH
44,"[440,67]","[451,69]",10.828427076339722,BRANCH,BRANCH
45,"[440,67]","[392,71]",55.69848430156708,BRANCH,BRANCH
46,"[451,69]","[451,72]",2.0,BRANCH,BRANCH
47,"[64,70]","[15,115]",70.15432798862457,BRANCH,BRANCH
48,"[392,71]","[389,98]",27.242640614509583,BRANCH,BRANCH
49,"[451,72]","[469,75]",18.242640614509583,BRANCH,BRANCH
50,"[451,72]","[466,139]",74.4558436870575,BRANCH,BRANCH
51,"[469,75]","[486,82]",18.485281229019165,BRANCH,BRANCH
52,"[509,66]","[499,79]",16.14213538169861,TIP,BRANCH
53,"[499,79]","[486,82]",13.242640614509583,BRANCH,BRANCH
54,"[511,91]","[499,79]",16.55634891986847,TIP,BRANCH
55,"[486,82]","[489,119]",37.41421353816986,BRANCH,BRANCH
56,"[389,98]","[360,118]",36.28427076339722,BRANCH,BRANCH
57,"[389,98]","[433,134]",58.08326029777527,BRANCH,BRANCH
58,"[9,115]","[15,115]",5.0,BRANCH,BRANCH
59,"[1,81]","[9,115]",36.72792184352875,TIP,BRANCH
60,"[3,123]","[9,115]",9.071067690849304,TIP,BRANCH
61,"[15,115]","[28,133]",22.38477599620819,BRANCH,BRANCH
62,"[360,118]","[322,127]",40.72792184352875,BRANCH,BRANCH
63,"[360,118]","[360,140]",21.41421353816986,BRANCH,BRANCH
64,"[501,116]","[489,119]",12.242640614509583,TIP,BRANCH
65,"[489,119]","[472,139]",26.041630148887634,BRANCH,BRANCH
66,"[302,115]","[322,127]",25.14213538169861,TIP,BRANCH
67,"[322,127]","[318,151]",24.242640614509583,BRANCH,BRANCH
68,"[28,133]","[51,141]",25.899494767189026,BRANCH,BRANCH
69,"[15,209]","[28,133]",86.5979790687561,TIP,BRANCH
70,"[433,134]","[455,143]",24.727921843528748,BRANCH,BRANCH
71,"[433,134]","[400,154]",39.870057225227356,BRANCH,BRANCH
72,"[466,139]","[472,139]",5.0,BRANCH,BRANCH
73,"[466,139]","[455,143]",11.242640614509583,BRANCH,BRANCH
74,"[472,139]","[481,164]",27.727921843528748,BRANCH,BRANCH
75,"[360,140]","[400,154]",47.041630148887634,BRANCH,BRANCH
76,"[360,140]","[353,147]",9.656854152679443,BRANCH,BRANCH
77,"[60,144]","[51,141]",9.242640614509583,TIP,BRANCH
78,"[51,141]","[56,180]",43.97056245803833,BRANCH,BRANCH
79,"[455,143]","[435,185]",48.870057225227356,BRANCH,BRANCH
80,"[353,147]","[351,171]",23.82842707633972,BRANCH,BRANCH
81,"[353,147]","[318,151]",36.899494767189026,BRANCH,BRANCH
82,"[318,151]","[315,152]",2.0,BRANCH,BRANCH
83,"[257,128]","[315,152]",72.69848430156708,TIP,BRANCH
84,"[315,152]","[310,212]",71.01219260692596,BRANCH,BRANCH
85,"[400,154]","[398,169]",14.828427076339722,BRANCH,BRANCH
86,"[481,164]","[491,182]",22.899494767189026,BRANCH,BRANCH
87,"[481,164]","[435,185]",53.28427076339722,BRANCH,BRANCH
88,"[398,169]","[380,172]",18.242640614509583,BRANCH,BRANCH
89,"[398,169]","[432,185]",39.21320307254791,BRANCH,BRANCH
90,"[351,171]","[329,195]",35.041630148887634,BRANCH,BRANCH
91,"[351,171]","[355,173]",3.414213538169861,BRANCH,BRANCH
92,"[380,172]","[355,173]",27.727921843528748,BRANCH,BRANCH
93,"[380,172]","[379,193]",20.41421353816986,BRANCH,BRANCH
94,"[355,173]","[366,194]",24.55634891986847,BRANCH,BRANCH
95,"[74,183]","[56,180]",18.242640614509583,TIP,BRANCH
96,"[54,186]","[56,180]",5.828427076339722,TIP,BRANCH
97,"[491,182]","[462,237]",80.94112491607666,BRANCH,BRANCH
98,"[472,198]","[491,182]",24.627416610717773,TIP,BRANCH
99,"[432,185]","[435,185]",2.0,BRANCH,BRANCH
100,"[432,185]","[432,195]",9.0,BRANCH,BRANCH
101,"[379,193]","[366,194]",12.41421353816986,BRANCH,BRANCH
102,"[379,193]","[399,211]",29.38477599620819,BRANCH,BRANCH
103,"[366,194]","[365,197]",2.0,BRANCH,BRANCH
104,"[329,195]","[325,211]",16.656854152679443,BRANCH,BRANCH
105,"[314,187]","[329,195]",19.97056245803833,TIP,BRANCH
106,"[432,195]","[401,211]",36.62741661071777,BRANCH,BRANCH
107,"[432,195]","[443,229]",37.14213538169861,BRANCH,BRANCH
108,"[365,197]","[377,229]",36.55634891986847,BRANCH,BRANCH
109,"[365,197]","[343,227]",38.69848430156708,BRANCH,BRANCH
110,"[325,211]","[310,212]",14.41421353816986,BRANCH,BRANCH
111,"[325,211]","[343,227]",23.213203072547913,BRANCH,BRANCH
112,"[399,211]","[401,211]",1.0,BRANCH,BRANCH
113,"[399,211]","[377,229]",29.213203072547913,BRANCH,BRANCH
114,"[401,211]","[416,239]",32.79898953437805,BRANCH,BRANCH
115,"[310,212]","[303,230]",19.899494767189026,BRANCH,BRANCH
116,"[343,227]","[347,245]",18.656854152679443,BRANCH,BRANCH
117,"[377,229]","[377,233]",3.0,BRANCH,BRANCH
118,"[443,229]","[462,237]",21.313708305358887,BRANCH,BRANCH
119,"[443,229]","[416,239]",29.727921843528748,BRANCH,BRANCH
120,"[303,230]","[275,238]",30.313708305358887,BRANCH,BRANCH
121,"[303,230]","[302,269]",41.72792184352875,BRANCH,BRANCH
122,"[377,233]","[349,245]",31.97056245803833,BRANCH,BRANCH
123,"[378,240]","[377,233]",6.414213538169861,TIP,BRANCH
124,"[462,237]","[448,273]",40.38477599620819,BRANCH,BRANCH
125,"[275,238]","[266,264]",28.727921843528748,BRANCH,BRANCH
126,"[222,222]","[275,238]",61.870057225227356,TIP,BRANCH
127,"[416,239]","[404,277]",46.041630148887634,BRANCH,BRANCH
128,"[347,245]","[349,245]",1.0,BRANCH,BRANCH
129,"[347,245]","[329,273]",36.21320307254791,BRANCH,BRANCH
130,"[347,245]","[323,270]",38.21320307254791,BRANCH,BRANCH
131,"[349,245]","[357,297]",65.69848430156708,BRANCH,BRANCH
132,"[225,270]","[223,259]",13.071067690849304,TIP,BRANCH
133,"[222,257]","[223,259]",1.0,TIP,BRANCH
134,"[225,258]","[223,259]",1.0,TIP,BRANCH
135,"[242,275]","[266,264]",27.55634891986847,TIP,BRANCH
136,"[266,264]","[275,275]",13.899494767189026,BRANCH,BRANCH
137,"[302,269]","[308,270]",5.414213538169861,BRANCH,BRANCH
138,"[302,269]","[275,275]",28.071067690849304,BRANCH,BRANCH
139,"[308,270]","[323,270]",14.0,BRANCH,BRANCH
140,"[300,289]","[308,270]",21.727921843528748,TIP,BRANCH
141,"[323,270]","[329,273]",6.828427076339722,BRANCH,BRANCH
142,"[329,273]","[329,284]",10.0,BRANCH,BRANCH
143,"[448,273]","[480,282]",34.72792184352875,BRANCH,BRANCH
144,"[448,273]","[423,288]",29.79898953437805,BRANCH,BRANCH
145,"[275,275]","[270,305]",31.071067690849304,BRANCH,BRANCH
146,"[404,277]","[413,288]",16.071067690849304,BRANCH,BRANCH
