vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
0.1201629638671875,1,19,11,345.66399443149567,31.42399949377233

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[474,11]","[484,11]",9.0,TIP,BRANCH
2,"[483,25]","[484,11]",13.41421353816986,TIP,BRANCH
3,"[488,0]","[484,11]",11.242640614509583,TIP,BRANCH
4,"[127,8]","[140,8]",13.828427076339722,TIP,TIP
5,"[476,52]","[470,90]",41.071067690849304,TIP,TIP
6,"[20,76]","[24,96]",21.656854152679443,TIP,TIP
7,"[275,121]","[270,126]",7.071067690849304,TIP,TIP
8,"[475,121]","[493,174]",61.62741661071777,TIP,TIP
9,"[345,192]","[346,197]",5.414213538169861,TIP,TIP
10,"[244,301]","[214,321]",39.455843687057495,TIP,TIP
11,"[129,341]","[231,389]",121.88224983215332,TIP,TIP
