vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
0.96435546875,39,160,137,2780.2429757118225,20.293744348261477

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[182,8]","[219,12]",38.485281229019165,BRANCH,BRANCH
2,"[182,8]","[175,31]",24.899494767189026,BRANCH,BRANCH
3,"[173,0]","[182,8]",10.899494767189026,TIP,BRANCH
4,"[228,4]","[219,12]",11.313708305358887,TIP,BRANCH
5,"[219,12]","[228,28]",19.313708305358887,BRANCH,BRANCH
6,"[396,0]","[391,12]",13.071067690849304,TIP,BRANCH
7,"[383,12]","[391,12]",7.0,TIP,BRANCH
8,"[391,21]","[391,12]",8.828427076339722,TIP,BRANCH
9,"[403,26]","[401,27]",1.4142135381698608,TIP,BRANCH
10,"[399,26]","[401,27]",1.4142135381698608,TIP,BRANCH
11,"[399,38]","[401,27]",11.656854152679443,TIP,BRANCH
12,"[228,28]","[260,61]",48.76955199241638,BRANCH,BRANCH
13,"[221,36]","[228,28]",10.071067690849304,TIP,BRANCH
14,"[175,31]","[158,49]",26.38477599620819,BRANCH,BRANCH
15,"[199,38]","[175,31]",26.313708305358887,TIP,BRANCH
16,"[158,49]","[141,71]",30.97056245803833,BRANCH,BRANCH
17,"[44,68]","[158,49]",124.5979790687561,TIP,BRANCH
18,"[279,76]","[260,61]",24.79898953437805,TIP,BRANCH
19,"[249,73]","[260,61]",16.727921843528748,TIP,BRANCH
20,"[342,59]","[345,61]",2.8284270763397217,TIP,BRANCH
21,"[345,61]","[344,82]",20.41421353816986,BRANCH,BRANCH
22,"[353,45]","[345,61]",17.899494767189026,TIP,BRANCH
23,"[141,71]","[80,105]",74.66904675960541,BRANCH,BRANCH
24,"[123,110]","[141,71]",45.455843687057495,TIP,BRANCH
25,"[333,79]","[344,82]",11.242640614509583,TIP,BRANCH
26,"[371,129]","[344,82]",56.76955199241638,TIP,BRANCH
27,"[80,105]","[48,109]",32.65685415267944,BRANCH,BRANCH
28,"[80,105]","[73,137]",33.899494767189026,BRANCH,BRANCH
29,"[155,102]","[157,108]",5.828427076339722,TIP,BRANCH
30,"[159,108]","[157,108]",1.0,TIP,BRANCH
31,"[157,108]","[149,123]",16.899494767189026,BRANCH,BRANCH
32,"[24,140]","[48,109]",39.94112491607666,TIP,BRANCH
33,"[42,106]","[48,109]",5.828427076339722,TIP,BRANCH
34,"[130,117]","[149,123]",21.313708305358887,TIP,BRANCH
35,"[163,148]","[149,123]",29.79898953437805,TIP,BRANCH
36,"[62,144]","[73,137]",12.485281229019165,TIP,BRANCH
37,"[73,137]","[84,155]",21.14213538169861,BRANCH,BRANCH
38,"[89,155]","[84,155]",4.0,TIP,BRANCH
39,"[83,163]","[84,155]",7.414213538169861,TIP,BRANCH
40,"[262,164]","[260,170]",5.828427076339722,TIP,BRANCH
41,"[270,171]","[260,170]",9.41421353816986,TIP,BRANCH
42,"[225,190]","[260,170]",43.455843687057495,TIP,BRANCH
43,"[58,220]","[53,223]",5.2426406145095825,TIP,BRANCH
44,"[41,197]","[53,223]",31.14213538169861,TIP,BRANCH
45,"[55,230]","[53,223]",6.828427076339722,TIP,BRANCH
46,"[131,230]","[128,231]",2.414213538169861,TIP,BRANCH
47,"[126,233]","[128,231]",1.4142135381698608,TIP,BRANCH
48,"[235,285]","[199,262]",45.11269783973694,TIP,BRANCH
49,"[192,256]","[199,262]",8.071067690849304,TIP,BRANCH
50,"[194,272]","[199,262]",10.656854152679443,TIP,BRANCH
51,"[284,270]","[282,286]",16.656854152679443,TIP,BRANCH
52,"[280,286]","[282,286]",1.0,TIP,BRANCH
53,"[290,293]","[282,286]",10.071067690849304,TIP,BRANCH
54,"[113,284]","[107,290]",8.656854152679443,TIP,BRANCH
55,"[103,285]","[107,290]",6.2426406145095825,TIP,BRANCH
56,"[126,330]","[107,290]",46.870057225227356,TIP,BRANCH
57,"[65,287]","[60,305]",19.071067690849304,TIP,BRANCH
58,"[60,305]","[54,310]",7.071067690849304,BRANCH,BRANCH
59,"[64,311]","[60,305]",6.828427076339722,TIP,BRANCH
60,"[0,262]","[54,310]",76.39696860313416,TIP,BRANCH
61,"[54,310]","[54,315]",4.0,BRANCH,BRANCH
62,"[86,348]","[54,315]",47.5979790687561,TIP,BRANCH
63,"[45,320]","[54,315]",10.071067690849304,TIP,BRANCH
64,"[344,329]","[353,342]",15.727921843528748,TIP,BRANCH
65,"[358,340]","[353,342]",4.828427076339722,TIP,BRANCH
66,"[353,342]","[353,353]",10.0,BRANCH,BRANCH
67,"[366,355]","[353,353]",12.828427076339722,TIP,BRANCH
68,"[352,362]","[353,353]",8.828427076339722,TIP,BRANCH
69,"[78,392]","[75,396]",4.2426406145095825,TIP,BRANCH
70,"[66,393]","[75,396]",9.242640614509583,TIP,BRANCH
71,"[77,398]","[75,396]",1.4142135381698608,TIP,BRANCH
72,"[346,411]","[347,419]",7.414213538169861,TIP,BRANCH
73,"[344,419]","[347,419]",2.0,TIP,BRANCH
74,"[347,419]","[352,464]",47.72792184352875,BRANCH,BRANCH
75,"[420,427]","[422,439]",11.828427076339722,TIP,BRANCH
76,"[424,439]","[422,439]",1.0,TIP,BRANCH
77,"[422,439]","[416,441]",5.828427076339722,BRANCH,BRANCH
78,"[465,409]","[416,441]",82.55634891986847,TIP,BRANCH
79,"[416,441]","[413,445]",3.8284270763397217,BRANCH,BRANCH
80,"[17,438]","[17,445]",6.828427076339722,TIP,BRANCH
81,"[55,464]","[17,445]",45.455843687057495,TIP,BRANCH
82,"[16,450]","[17,445]",4.414213538169861,TIP,BRANCH
83,"[409,446]","[413,445]",3.414213538169861,TIP,BRANCH
84,"[413,448]","[413,445]",2.0,TIP,BRANCH
85,"[377,459]","[352,464]",26.071067690849304,BRANCH,BRANCH
86,"[379,458]","[377,459]",1.0,TIP,BRANCH
87,"[352,464]","[351,466]",1.0,BRANCH,BRANCH
88,"[302,471]","[351,466]",52.55634891986847,TIP,BRANCH
89,"[352,486]","[351,466]",19.41421353816986,TIP,BRANCH
90,"[261,473]","[261,475]",1.0,TIP,BRANCH
91,"[258,475]","[261,475]",2.0,TIP,BRANCH
92,"[261,475]","[279,482]",20.313708305358887,BRANCH,BRANCH
93,"[299,473]","[279,482]",22.727921843528748,TIP,BRANCH
94,"[279,493]","[279,482]",10.828427076339722,TIP,BRANCH
95,"[482,0]","[504,16]",29.213203072547913,TIP,TIP
96,"[283,1]","[276,26]",38.870057225227356,TIP,TIP
97,"[338,1]","[354,42]",48.455843687057495,TIP,TIP
98,"[467,59]","[457,86]",36.21320307254791,TIP,TIP
99,"[12,91]","[11,94]",3.414213538169861,TIP,TIP
100,"[281,98]","[284,123]",26.242640614509583,TIP,TIP
101,"[233,108]","[213,112]",25.899494767189026,TIP,TIP
102,"[177,109]","[198,137]",49.38477599620819,TIP,TIP
103,"[109,148]","[122,153]",15.071067690849304,TIP,TIP
104,"[17,157]","[13,171]",15.656854152679443,TIP,TIP
105,"[52,158]","[44,170]",15.899494767189026,TIP,TIP
106,"[362,172]","[349,196]",29.38477599620819,TIP,TIP
