vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
1.2058258056640625,46,168,152,3524.0095633268356,23.18427344293971

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[261,6]","[290,44]",51.94112491607666,BRANCH,BRANCH
2,"[258,3]","[261,6]",2.8284270763397217,TIP,BRANCH
3,"[261,6]","[256,32]",26.656854152679443,BRANCH,BRANCH
4,"[73,9]","[50,10]",23.242640614509583,BRANCH,BRANCH
5,"[73,9]","[96,31]",41.14213538169861,BRANCH,BRANCH
6,"[73,9]","[65,42]",35.72792184352875,BRANCH,BRANCH
7,"[37,10]","[50,10]",12.0,BRANCH,BRANCH
8,"[37,10]","[14,32]",64.94112491607666,BRANCH,BRANCH
9,"[37,10]","[28,27]",19.313708305358887,BRANCH,BRANCH
10,"[50,10]","[52,35]",25.656854152679443,BRANCH,BRANCH
11,"[175,0]","[148,22]",36.28427076339722,TIP,BRANCH
12,"[148,22]","[96,31]",71.5979790687561,BRANCH,BRANCH
13,"[190,45]","[148,22]",51.69848430156708,TIP,BRANCH
14,"[409,19]","[412,24]",5.2426406145095825,TIP,BRANCH
15,"[452,0]","[412,24]",48.94112491607666,TIP,BRANCH
16,"[412,24]","[382,39]",35.79898953437805,BRANCH,BRANCH
17,"[28,27]","[14,32]",15.071067690849304,BRANCH,BRANCH
18,"[28,27]","[34,39]",13.071067690849304,BRANCH,BRANCH
19,"[96,31]","[96,36]",4.0,BRANCH,BRANCH
20,"[14,32]","[14,39]",6.0,BRANCH,BRANCH
21,"[243,70]","[256,32]",44.38477599620819,TIP,BRANCH
22,"[266,33]","[256,32]",9.828427076339722,TIP,BRANCH
23,"[52,35]","[34,39]",18.656854152679443,BRANCH,BRANCH
24,"[52,35]","[61,42]",10.485281229019165,BRANCH,BRANCH
25,"[93,37]","[96,36]",2.414213538169861,TIP,BRANCH
26,"[97,71]","[96,36]",41.79898953437805,TIP,BRANCH
27,"[14,39]","[34,39]",23.727921843528748,BRANCH,BRANCH
28,"[14,39]","[12,57]",17.41421353816986,BRANCH,BRANCH
29,"[381,47]","[382,39]",7.414213538169861,TIP,BRANCH
30,"[349,2]","[382,39]",55.11269783973694,TIP,BRANCH
31,"[61,42]","[65,42]",3.0,BRANCH,BRANCH
32,"[61,42]","[44,82]",45.62741661071777,BRANCH,BRANCH
33,"[83,61]","[65,42]",27.79898953437805,TIP,BRANCH
34,"[298,33]","[290,44]",14.485281229019165,TIP,BRANCH
35,"[290,44]","[290,52]",7.0,BRANCH,BRANCH
36,"[296,57]","[290,52]",7.071067690849304,TIP,BRANCH
37,"[280,74]","[290,52]",25.727921843528748,TIP,BRANCH
38,"[2,67]","[12,57]",13.727921843528748,TIP,BRANCH
39,"[12,57]","[38,82]",40.21320307254791,BRANCH,BRANCH
40,"[38,82]","[44,82]",5.0,BRANCH,BRANCH
41,"[38,82]","[35,104]",22.242640614509583,BRANCH,BRANCH
42,"[44,82]","[67,92]",25.727921843528748,BRANCH,BRANCH
43,"[126,58]","[144,84]",33.041630148887634,TIP,BRANCH
44,"[120,126]","[144,84]",79.66904675960541,TIP,BRANCH
45,"[145,87]","[144,84]",2.414213538169861,TIP,BRANCH
46,"[67,92]","[66,100]",7.414213538169861,BRANCH,BRANCH
47,"[81,72]","[67,92]",26.14213538169861,TIP,BRANCH
48,"[66,100]","[35,104]",34.14213538169861,BRANCH,BRANCH
49,"[66,100]","[68,126]",25.41421353816986,BRANCH,BRANCH
50,"[35,104]","[16,106]",18.82842707633972,BRANCH,BRANCH
51,"[5,90]","[16,106]",21.313708305358887,TIP,BRANCH
52,"[16,106]","[10,132]",28.313708305358887,BRANCH,BRANCH
53,"[100,151]","[68,126]",48.62741661071777,TIP,BRANCH
54,"[68,126]","[65,134]",8.242640614509583,BRANCH,BRANCH
55,"[10,132]","[46,150]",42.455843687057495,BRANCH,BRANCH
56,"[6,138]","[10,132]",6.2426406145095825,TIP,BRANCH
57,"[55,136]","[65,134]",9.828427076339722,TIP,BRANCH
58,"[65,134]","[66,166]",33.071067690849304,BRANCH,BRANCH
59,"[49,142]","[46,150]",8.242640614509583,TIP,BRANCH
60,"[46,150]","[66,166]",27.38477599620819,BRANCH,BRANCH
61,"[66,166]","[67,176]",9.41421353816986,BRANCH,BRANCH
62,"[84,178]","[67,176]",16.82842707633972,TIP,BRANCH
63,"[67,176]","[53,195]",24.97056245803833,BRANCH,BRANCH
64,"[23,176]","[22,183]",6.414213538169861,TIP,BRANCH
65,"[1,217]","[22,183]",44.79898953437805,TIP,BRANCH
66,"[22,183]","[28,187]",6.2426406145095825,BRANCH,BRANCH
67,"[28,187]","[53,195]",27.313708305358887,BRANCH,BRANCH
68,"[28,187]","[21,228]",42.899494767189026,BRANCH,BRANCH
69,"[53,195]","[57,220]",26.485281229019165,BRANCH,BRANCH
70,"[277,160]","[228,195]",66.01219260692596,TIP,BRANCH
71,"[215,194]","[228,195]",12.41421353816986,TIP,BRANCH
72,"[232,213]","[228,195]",18.656854152679443,TIP,BRANCH
73,"[90,197]","[57,220]",45.28427076339722,TIP,BRANCH
74,"[57,220]","[46,231]",16.313708305358887,BRANCH,BRANCH
75,"[21,228]","[46,231]",26.071067690849304,BRANCH,BRANCH
76,"[17,255]","[21,228]",28.485281229019165,TIP,BRANCH
77,"[41,244]","[46,231]",14.071067690849304,TIP,BRANCH
78,"[97,226]","[96,236]",9.41421353816986,TIP,BRANCH
79,"[100,240]","[96,236]",5.2426406145095825,TIP,BRANCH
80,"[96,236]","[86,240]",10.656854152679443,BRANCH,BRANCH
81,"[74,260]","[86,240]",23.97056245803833,TIP,BRANCH
82,"[84,237]","[86,240]",2.414213538169861,TIP,BRANCH
83,"[128,239]","[112,284]",50.62741661071777,TIP,BRANCH
84,"[141,295]","[112,284]",34.79898953437805,TIP,BRANCH
85,"[106,288]","[112,284]",6.2426406145095825,TIP,BRANCH
86,"[254,300]","[270,301]",16.242640614509583,TIP,BRANCH
87,"[271,303]","[270,301]",1.4142135381698608,TIP,BRANCH
88,"[274,297]","[270,301]",4.2426406145095825,TIP,BRANCH
89,"[181,328]","[183,327]",1.0,TIP,BRANCH
90,"[188,329]","[183,327]",4.414213538169861,TIP,BRANCH
91,"[50,315]","[28,346]",40.28427076339722,TIP,BRANCH
92,"[24,349]","[28,346]",4.2426406145095825,TIP,BRANCH
93,"[53,358]","[28,346]",28.55634891986847,TIP,BRANCH
94,"[308,0]","[301,21]",25.313708305358887,TIP,TIP
95,"[232,2]","[213,27]",33.455843687057495,TIP,TIP
96,"[471,9]","[489,10]",18.41421353816986,TIP,TIP
97,"[190,19]","[198,27]",11.313708305358887,TIP,TIP
98,"[463,25]","[469,36]",13.485281229019165,TIP,TIP
99,"[240,32]","[229,41]",15.899494767189026,TIP,TIP
100,"[380,59]","[383,78]",20.242640614509583,TIP,TIP
101,"[212,60]","[207,69]",11.071067690849304,TIP,TIP
102,"[444,61]","[462,72]",23.97056245803833,TIP,TIP
103,"[258,72]","[263,93]",23.071067690849304,TIP,TIP
104,"[194,73]","[158,103]",49.5979790687561,TIP,TIP
105,"[233,74]","[208,105]",43.11269783973694,TIP,TIP
106,"[322,80]","[320,94]",15.656854152679443,TIP,TIP
107,"[491,83]","[478,102]",24.38477599620819,TIP,TIP
108,"[198,91]","[188,102]",16.313708305358887,TIP,TIP
109,"[320,105]","[327,108]",8.242640614509583,TIP,TIP
110,"[431,115]","[428,118]",4.828427076339722,TIP,TIP
111,"[377,123]","[365,139]",21.55634891986847,TIP,TIP
112,"[161,124]","[124,127]",38.24264061450958,TIP,TIP
113,"[273,128]","[279,129]",6.414213538169861,TIP,TIP
114,"[251,137]","[250,147]",10.41421353816986,TIP,TIP
115,"[446,146]","[438,152]",10.485281229019165,TIP,TIP
116,"[153,156]","[173,157]",24.55634891986847,TIP,TIP
117,"[403,160]","[407,186]",28.485281229019165,TIP,TIP
118,"[485,170]","[500,188]",25.38477599620819,TIP,TIP
119,"[111,172]","[144,217]",65.25483322143555,TIP,TIP
120,"[294,176]","[299,178]",5.828427076339722,TIP,TIP
121,"[367,180]","[392,188]",29.14213538169861,TIP,TIP
122,"[186,183]","[172,201]",26.14213538169861,TIP,TIP
123,"[307,185]","[307,198]",13.0,TIP,TIP
124,"[7,238]","[1,242]",8.242640614509583,TIP,TIP
125,"[150,243]","[141,261]",21.727921843528748,TIP,TIP
126,"[221,252]","[211,282]",34.72792184352875,TIP,TIP
127,"[244,256]","[252,256]",9.656854152679443,TIP,TIP
128,"[168,259]","[176,266]",10.899494767189026,TIP,TIP
129,"[470,262]","[481,269]",13.899494767189026,TIP,TIP
130,"[30,268]","[45,273]",17.071067690849304,TIP,TIP
131,"[167,288]","[158,302]",17.727921843528748,TIP,TIP
132,"[7,293]","[0,299]",10.071067690849304,TIP,TIP
133,"[87,318]","[93,327]",11.485281229019165,TIP,TIP
134,"[67,321]","[75,331]",13.313708305358887,TIP,TIP
135,"[134,341]","[115,342]",21.071067690849304,TIP,TIP
136,"[152,352]","[129,375]",33.69848430156708,TIP,TIP
137,"[98,362]","[3,422]",130.9827550649643,TIP,TIP
138,"[150,381]","[155,390]",11.071067690849304,TIP,TIP
139,"[292,382]","[279,385]",14.242640614509583,TIP,TIP
140,"[2,387]","[12,387]",10.828427076339722,TIP,TIP
141,"[66,393]","[51,402]",18.727921843528748,TIP,TIP
142,"[145,398]","[131,454]",67.5979790687561,TIP,TIP
143,"[410,400]","[395,402]",15.828427076339722,TIP,TIP
144,"[36,419]","[67,443]",47.62741661071777,TIP,TIP
145,"[67,420]","[94,424]",30.313708305358887,TIP,TIP
146,"[230,445]","[222,446]",10.071067690849304,TIP,TIP
147,"[2,448]","[12,450]",10.828427076339722,TIP,TIP
148,"[279,466]","[275,467]",5.2426406145095825,TIP,TIP
149,"[100,471]","[90,480]",19.242640614509583,TIP,TIP
150,"[34,476]","[52,483]",20.899494767189026,TIP,TIP
151,"[161,502]","[177,511]",19.727921843528748,TIP,TIP
152,"[71,506]","[66,510]",6.656854152679443,TIP,TIP
