vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
0.9204864501953125,41,142,129,2645.490668654442,20.507679601972416

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[289,0]","[274,11]",20.313708305358887,TIP,BRANCH
2,"[274,11]","[225,18]",50.899494767189026,BRANCH,BRANCH
3,"[283,15]","[274,11]",9.242640614509583,TIP,BRANCH
4,"[225,18]","[174,34]",76.5269113779068,BRANCH,BRANCH
5,"[225,18]","[227,31]",12.828427076339722,BRANCH,BRANCH
6,"[227,31]","[258,60]",47.870057225227356,BRANCH,BRANCH
7,"[227,31]","[220,37]",8.071067690849304,BRANCH,BRANCH
8,"[174,34]","[158,49]",23.55634891986847,BRANCH,BRANCH
9,"[174,34]","[220,37]",48.31370830535889,BRANCH,BRANCH
10,"[218,60]","[220,37]",23.656854152679443,TIP,BRANCH
11,"[158,49]","[149,69]",22.727921843528748,BRANCH,BRANCH
12,"[96,62]","[158,49]",69.28427076339722,TIP,BRANCH
13,"[258,60]","[262,61]",3.414213538169861,BRANCH,BRANCH
14,"[252,68]","[258,60]",10.071067690849304,TIP,BRANCH
15,"[448,53]","[452,60]",7.656854152679443,TIP,BRANCH
16,"[464,81]","[452,60]",26.97056245803833,TIP,BRANCH
17,"[449,64]","[452,60]",4.2426406145095825,TIP,BRANCH
18,"[277,45]","[262,61]",21.97056245803833,TIP,BRANCH
19,"[271,68]","[262,61]",10.485281229019165,TIP,BRANCH
20,"[149,69]","[135,105]",40.79898953437805,BRANCH,BRANCH
21,"[149,69]","[127,73]",25.313708305358887,BRANCH,BRANCH
22,"[82,104]","[127,73]",59.18376553058624,TIP,BRANCH
23,"[123,70]","[127,73]",3.8284270763397217,TIP,BRANCH
24,"[293,58]","[318,75]",31.627416610717773,TIP,BRANCH
25,"[318,75]","[328,81]",12.656854152679443,BRANCH,BRANCH
26,"[311,76]","[318,75]",6.414213538169861,TIP,BRANCH
27,"[362,108]","[328,81]",49.69848430156708,TIP,BRANCH
28,"[327,84]","[328,81]",2.414213538169861,TIP,BRANCH
29,"[233,76]","[227,83]",9.656854152679443,TIP,BRANCH
30,"[237,82]","[227,83]",9.41421353816986,TIP,BRANCH
31,"[227,83]","[221,86]",6.2426406145095825,BRANCH,BRANCH
32,"[218,86]","[221,86]",2.0,TIP,BRANCH
33,"[221,94]","[221,86]",7.0,TIP,BRANCH
34,"[225,100]","[230,104]",5.656854152679443,TIP,BRANCH
35,"[230,110]","[230,104]",5.0,TIP,BRANCH
36,"[128,108]","[135,105]",7.2426406145095825,TIP,BRANCH
37,"[135,105]","[137,117]",11.41421353816986,BRANCH,BRANCH
38,"[137,117]","[130,161]",48.14213538169861,BRANCH,BRANCH
39,"[156,138]","[137,117]",31.55634891986847,TIP,BRANCH
40,"[449,124]","[449,135]",10.828427076339722,TIP,BRANCH
41,"[451,135]","[449,135]",1.0,TIP,BRANCH
42,"[130,161]","[116,186]",32.14213538169861,BRANCH,BRANCH
43,"[138,183]","[130,161]",23.899494767189026,TIP,BRANCH
44,"[274,136]","[261,171]",39.38477599620819,TIP,BRANCH
45,"[270,171]","[261,171]",8.828427076339722,TIP,BRANCH
46,"[256,176]","[261,171]",6.656854152679443,TIP,BRANCH
47,"[111,184]","[116,186]",4.828427076339722,TIP,BRANCH
48,"[105,247]","[116,186]",72.11269783973694,TIP,BRANCH
49,"[150,204]","[167,205]",16.41421353816986,BRANCH,BRANCH
50,"[146,211]","[150,204]",7.656854152679443,TIP,BRANCH
51,"[129,202]","[150,204]",21.242640614509583,TIP,BRANCH
52,"[168,207]","[167,205]",1.4142135381698608,TIP,BRANCH
53,"[186,193]","[167,205]",22.55634891986847,TIP,BRANCH
54,"[488,290]","[488,285]",4.0,TIP,BRANCH
55,"[483,282]","[488,285]",4.828427076339722,TIP,BRANCH
56,"[492,280]","[488,285]",5.828427076339722,TIP,BRANCH
57,"[62,296]","[55,311]",16.899494767189026,TIP,BRANCH
58,"[0,263]","[55,311]",76.81118214130402,TIP,BRANCH
59,"[95,353]","[55,311]",59.32590091228485,TIP,BRANCH
60,"[339,322]","[341,324]",2.414213538169861,TIP,BRANCH
61,"[341,324]","[353,341]",21.55634891986847,BRANCH,BRANCH
62,"[346,315]","[341,324]",9.656854152679443,TIP,BRANCH
63,"[365,343]","[353,341]",11.828427076339722,TIP,BRANCH
64,"[353,353]","[353,341]",11.0,TIP,BRANCH
65,"[213,421]","[214,424]",2.414213538169861,TIP,BRANCH
66,"[221,426]","[214,424]",6.828427076339722,TIP,BRANCH
67,"[208,428]","[214,424]",6.2426406145095825,TIP,BRANCH
68,"[422,397]","[412,442]",48.14213538169861,TIP,BRANCH
69,"[423,437]","[412,442]",12.656854152679443,TIP,BRANCH
70,"[409,448]","[412,442]",5.828427076339722,TIP,BRANCH
71,"[15,434]","[18,445]",10.828427076339722,TIP,BRANCH
72,"[52,462]","[18,445]",42.21320307254791,TIP,BRANCH
73,"[18,445]","[16,451]",5.414213538169861,BRANCH,BRANCH
74,"[30,473]","[16,451]",28.55634891986847,TIP,BRANCH
75,"[16,451]","[4,459]",14.899494767189026,BRANCH,BRANCH
76,"[349,436]","[354,451]",16.071067690849304,TIP,BRANCH
77,"[354,451]","[351,464]",12.828427076339722,BRANCH,BRANCH
78,"[0,473]","[4,459]",14.656854152679443,TIP,BRANCH
79,"[0,452]","[4,459]",7.2426406145095825,TIP,BRANCH
80,"[357,463]","[351,464]",5.414213538169861,TIP,BRANCH
81,"[315,469]","[351,464]",37.485281229019165,TIP,BRANCH
82,"[269,463]","[267,467]",3.8284270763397217,TIP,BRANCH
83,"[267,467]","[272,482]",16.656854152679443,BRANCH,BRANCH
