vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
0.3505706787109375,9,17,22,1022.5777697563171,46.48080771619623

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[457,259]","[465,348]",96.87005722522736,TIP,BRANCH
2,"[465,348]","[466,395]",47.24264061450958,BRANCH,BRANCH
3,"[504,304]","[465,348]",61.66904675960541,TIP,BRANCH
4,"[501,378]","[466,395]",42.79898953437805,TIP,BRANCH
5,"[466,395]","[467,442]",47.24264061450958,BRANCH,BRANCH
6,"[511,446]","[467,442]",44.65685415267944,TIP,BRANCH
7,"[467,442]","[466,446]",3.414213538169861,BRANCH,BRANCH
8,"[245,431]","[260,445]",22.14213538169861,TIP,BRANCH
9,"[389,510]","[260,445]",155.5096664428711,TIP,BRANCH
10,"[240,438]","[260,445]",21.899494767189026,TIP,BRANCH
11,"[436,426]","[466,446]",39.62741661071777,TIP,BRANCH
12,"[466,446]","[469,484]",37.82842707633972,BRANCH,BRANCH
13,"[365,438]","[386,458]",31.79898953437805,TIP,BRANCH
14,"[386,458]","[405,459]",18.41421353816986,BRANCH,BRANCH
15,"[369,457]","[386,458]",21.071067690849304,TIP,BRANCH
16,"[373,363]","[405,459]",108.84061968326569,TIP,BRANCH
17,"[405,459]","[455,501]",78.01219260692596,BRANCH,BRANCH
18,"[511,463]","[469,484]",52.62741661071777,TIP,BRANCH
19,"[469,484]","[455,501]",21.79898953437805,BRANCH,BRANCH
20,"[467,511]","[455,501]",14.727921843528748,TIP,BRANCH
21,"[330,313]","[338,317]",9.656854152679443,TIP,TIP
22,"[422,367]","[431,408]",44.72792184352875,TIP,TIP
