vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
1.24359130859375,52,174,164,3582.7547301054,21.846065427471952

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[113,3]","[113,9]",5.828427076339722,BRANCH,BRANCH
2,"[111,0]","[113,3]",2.414213538169861,TIP,BRANCH
3,"[119,0]","[113,3]",5.828427076339722,TIP,BRANCH
4,"[16,0]","[19,6]",6.2426406145095825,TIP,BRANCH
5,"[19,6]","[33,6]",13.0,BRANCH,BRANCH
6,"[19,6]","[11,18]",15.485281229019165,BRANCH,BRANCH
7,"[34,4]","[33,6]",1.4142135381698608,TIP,BRANCH
8,"[67,0]","[33,6]",35.485281229019165,TIP,BRANCH
9,"[120,7]","[113,9]",6.828427076339722,TIP,BRANCH
10,"[111,14]","[113,9]",4.828427076339722,TIP,BRANCH
11,"[11,18]","[6,34]",17.071067690849304,BRANCH,BRANCH
12,"[0,8]","[11,18]",14.313708305358887,TIP,BRANCH
13,"[82,25]","[20,33]",65.97056245803833,BRANCH,BRANCH
14,"[66,51]","[82,25]",33.38477599620819,TIP,BRANCH
15,"[89,1]","[82,25]",26.071067690849304,TIP,BRANCH
16,"[128,19]","[109,31]",24.38477599620819,TIP,BRANCH
17,"[102,31]","[109,31]",6.0,TIP,BRANCH
18,"[109,31]","[104,52]",22.071067690849304,BRANCH,BRANCH
19,"[20,33]","[11,37]",10.828427076339722,BRANCH,BRANCH
20,"[20,33]","[8,34]",13.485281229019165,BRANCH,BRANCH
21,"[6,34]","[8,34]",1.0,BRANCH,BRANCH
22,"[4,35]","[6,34]",1.0,TIP,BRANCH
23,"[8,34]","[11,37]",2.8284270763397217,BRANCH,BRANCH
24,"[11,37]","[13,53]",15.828427076339722,BRANCH,BRANCH
25,"[111,54]","[104,52]",6.828427076339722,TIP,BRANCH
26,"[96,61]","[104,52]",13.071067690849304,TIP,BRANCH
27,"[13,53]","[20,53]",6.0,BRANCH,BRANCH
28,"[13,53]","[10,56]",3.8284270763397217,BRANCH,BRANCH
29,"[20,53]","[24,65]",21.485281229019165,BRANCH,BRANCH
30,"[20,53]","[19,55]",1.4142135381698608,BRANCH,BRANCH
31,"[18,54]","[18,56]",1.4142135381698608,BRANCH,PATH
32,"[1,69]","[10,56]",16.313708305358887,TIP,BRANCH
33,"[10,56]","[24,65]",17.313708305358887,BRANCH,BRANCH
34,"[385,0]","[351,57]",71.84061968326569,TIP,BRANCH
35,"[338,40]","[351,57]",21.97056245803833,TIP,BRANCH
36,"[325,92]","[351,57]",45.35533845424652,TIP,BRANCH
37,"[301,36]","[303,60]",23.82842707633972,TIP,BRANCH
38,"[300,59]","[303,60]",2.414213538169861,TIP,BRANCH
39,"[323,84]","[303,60]",31.284270763397217,TIP,BRANCH
40,"[24,65]","[24,67]",1.0,BRANCH,BRANCH
41,"[127,45]","[123,65]",20.656854152679443,TIP,BRANCH
42,"[149,76]","[123,65]",29.55634891986847,TIP,BRANCH
43,"[121,68]","[123,65]",2.8284270763397217,TIP,BRANCH
44,"[46,63]","[24,67]",22.656854152679443,TIP,BRANCH
45,"[23,71]","[24,67]",3.414213538169861,TIP,BRANCH
46,"[175,55]","[186,70]",18.55634891986847,TIP,BRANCH
47,"[163,69]","[186,70]",23.242640614509583,TIP,BRANCH
48,"[439,83]","[318,117]",134.08326029777527,BRANCH,BRANCH
49,"[458,175]","[439,83]",106.42640614509583,TIP,BRANCH
50,"[454,61]","[439,83]",26.79898953437805,TIP,BRANCH
51,"[17,82]","[15,89]",6.828427076339722,TIP,BRANCH
