vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
1.8718719482421875,69,193,198,5414.974197030067,27.348354530454888

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[223,0]","[212,9]",13.727921843528748,TIP,BRANCH
2,"[212,9]","[187,74]",74.35533845424652,BRANCH,BRANCH
3,"[206,6]","[212,9]",5.828427076339722,TIP,BRANCH
4,"[171,0]","[145,11]",29.55634891986847,TIP,BRANCH
5,"[145,11]","[93,45]",87.94112491607666,BRANCH,BRANCH
6,"[132,30]","[145,11]",22.97056245803833,TIP,BRANCH
7,"[507,16]","[495,28]",17.727921843528748,TIP,BRANCH
8,"[493,27]","[495,28]",1.4142135381698608,TIP,BRANCH
9,"[495,28]","[497,48]",19.82842707633972,BRANCH,BRANCH
10,"[377,26]","[384,33]",10.071067690849304,TIP,BRANCH
11,"[441,31]","[384,33]",58.485281229019165,TIP,BRANCH
12,"[379,42]","[384,33]",10.071067690849304,TIP,BRANCH
13,"[93,45]","[76,68]",38.31370830535889,BRANCH,BRANCH
14,"[93,45]","[97,64]",19.242640614509583,BRANCH,BRANCH
15,"[57,38]","[11,48]",106.94112491607666,TIP,BRANCH
16,"[11,48]","[39,69]",38.62741661071777,BRANCH,BRANCH
17,"[11,48]","[39,69]",51.870057225227356,BRANCH,BRANCH
18,"[509,50]","[497,48]",11.828427076339722,TIP,BRANCH
19,"[497,48]","[469,80]",46.870057225227356,BRANCH,BRANCH
20,"[425,48]","[424,51]",2.414213538169861,TIP,BRANCH
21,"[418,52]","[424,51]",5.414213538169861,TIP,BRANCH
22,"[405,58]","[404,60]",1.4142135381698608,TIP,BRANCH
23,"[370,63]","[404,60]",35.071067690849304,TIP,BRANCH
24,"[404,60]","[410,81]",22.485281229019165,BRANCH,BRANCH
25,"[97,64]","[103,64]",5.0,BRANCH,BRANCH
26,"[97,64]","[76,68]",21.656854152679443,BRANCH,BRANCH
27,"[103,64]","[106,74]",10.242640614509583,BRANCH,BRANCH
28,"[119,52]","[103,64]",19.55634891986847,TIP,BRANCH
29,"[71,75]","[76,68]",7.656854152679443,TIP,BRANCH
30,"[39,69]","[58,162]",134.46803629398346,BRANCH,BRANCH
31,"[106,74]","[187,74]",84.97056245803833,BRANCH,BRANCH
32,"[123,118]","[106,74]",50.041630148887634,TIP,BRANCH
33,"[184,92]","[187,74]",18.242640614509583,TIP,BRANCH
34,"[447,64]","[462,80]",21.79898953437805,TIP,BRANCH
35,"[462,80]","[469,80]",6.0,BRANCH,BRANCH
36,"[462,80]","[410,81]",56.79898953437805,BRANCH,BRANCH
37,"[469,80]","[489,106]",33.455843687057495,BRANCH,BRANCH
38,"[400,86]","[410,81]",10.656854152679443,TIP,BRANCH
39,"[508,95]","[489,106]",22.55634891986847,TIP,BRANCH
40,"[489,106]","[491,138]",31.82842707633972,BRANCH,BRANCH
41,"[9,109]","[25,129]",27.97056245803833,TIP,BRANCH
42,"[51,138]","[25,129]",28.727921843528748,TIP,BRANCH
43,"[25,129]","[43,161]",39.041630148887634,BRANCH,BRANCH
44,"[434,132]","[433,138]",5.414213538169861,TIP,BRANCH
45,"[433,138]","[477,161]",54.28427076339722,BRANCH,BRANCH
46,"[417,139]","[433,138]",15.828427076339722,TIP,BRANCH
47,"[502,149]","[491,138]",16.899494767189026,TIP,BRANCH
48,"[491,138]","[477,161]",28.38477599620819,BRANCH,BRANCH
49,"[43,161]","[58,162]",14.41421353816986,BRANCH,BRANCH
50,"[43,161]","[18,219]",70.94112491607666,BRANCH,BRANCH
51,"[477,161]","[476,183]",21.41421353816986,BRANCH,BRANCH
52,"[58,181]","[58,162]",18.82842707633972,TIP,BRANCH
53,"[434,186]","[476,183]",44.72792184352875,TIP,BRANCH
54,"[476,183]","[468,226]",74.01219260692596,BRANCH,BRANCH
55,"[401,204]","[401,206]",1.0,TIP,BRANCH
56,"[401,206]","[412,222]",21.313708305358887,BRANCH,BRANCH
57,"[401,206]","[392,222]",18.899494767189026,BRANCH,BRANCH
58,"[352,212]","[345,216]",7.656854152679443,TIP,BRANCH
59,"[300,227]","[345,216]",50.79898953437805,TIP,BRANCH
60,"[345,216]","[392,222]",52.485281229019165,BRANCH,BRANCH
61,"[4,214]","[18,219]",15.656854152679443,TIP,BRANCH
62,"[20,221]","[18,219]",2.414213538169861,TIP,BRANCH
63,"[392,222]","[405,223]",12.41421353816986,BRANCH,BRANCH
64,"[412,222]","[424,224]",11.828427076339722,BRANCH,BRANCH
