vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
1.4003753662109375,53,151,154,4050.7202402353287,26.30337818334629

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[327,0]","[316,4]",11.656854152679443,TIP,BRANCH
2,"[302,28]","[316,4]",34.899494767189026,TIP,BRANCH
3,"[392,0]","[357,6]",36.485281229019165,TIP,BRANCH
4,"[348,0]","[357,6]",10.071067690849304,TIP,BRANCH
5,"[355,10]","[357,6]",3.414213538169861,TIP,BRANCH
6,"[125,7]","[166,15]",50.72792184352875,BRANCH,BRANCH
7,"[117,0]","[125,7]",9.485281229019165,TIP,BRANCH
8,"[125,7]","[101,27]",34.38477599620819,BRANCH,BRANCH
9,"[221,7]","[224,7]",2.0,BRANCH,BRANCH
10,"[214,3]","[221,7]",7.656854152679443,TIP,BRANCH
11,"[221,11]","[221,7]",3.0,TIP,BRANCH
12,"[224,7]","[238,14]",16.485281229019165,BRANCH,BRANCH
13,"[224,7]","[241,8]",17.656854152679443,BRANCH,BRANCH
14,"[254,0]","[241,8]",15.313708305358887,TIP,BRANCH
15,"[241,8]","[238,14]",6.2426406145095825,BRANCH,BRANCH
16,"[456,3]","[454,8]",4.828427076339722,TIP,BRANCH
17,"[401,10]","[454,8]",56.14213538169861,TIP,BRANCH
18,"[458,16]","[454,8]",8.242640614509583,TIP,BRANCH
19,"[193,2]","[190,13]",11.242640614509583,TIP,BRANCH
20,"[190,13]","[166,15]",23.82842707633972,BRANCH,BRANCH
21,"[181,45]","[190,13]",37.21320307254791,TIP,BRANCH
22,"[238,14]","[223,82]",74.87005722522736,BRANCH,BRANCH
23,"[166,15]","[136,71]",67.5979790687561,BRANCH,BRANCH
24,"[78,21]","[29,62]",98.94112491607666,BRANCH,BRANCH
25,"[78,21]","[101,27]",24.485281229019165,BRANCH,BRANCH
26,"[78,21]","[40,62]",56.49747383594513,BRANCH,BRANCH
27,"[101,27]","[102,70]",46.55634891986847,BRANCH,BRANCH
28,"[485,34]","[506,36]",20.82842707633972,TIP,BRANCH
29,"[509,32]","[506,36]",3.8284270763397217,TIP,BRANCH
30,"[509,39]","[506,36]",2.8284270763397217,TIP,BRANCH
31,"[275,21]","[284,58]",39.72792184352875,TIP,BRANCH
32,"[306,72]","[284,58]",28.55634891986847,TIP,BRANCH
33,"[274,68]","[284,58]",14.313708305358887,TIP,BRANCH
34,"[29,62]","[40,62]",10.0,BRANCH,BRANCH
35,"[29,62]","[24,114]",59.28427076339722,BRANCH,BRANCH
36,"[40,62]","[51,72]",14.727921843528748,BRANCH,BRANCH
37,"[102,70]","[132,85]",35.21320307254791,BRANCH,BRANCH
38,"[102,70]","[84,73]",18.242640614509583,BRANCH,BRANCH
39,"[177,59]","[176,70]",10.41421353816986,TIP,BRANCH
40,"[203,58]","[176,70]",31.79898953437805,TIP,BRANCH
41,"[169,85]","[176,70]",16.485281229019165,TIP,BRANCH
42,"[131,51]","[136,71]",21.656854152679443,TIP,BRANCH
43,"[136,71]","[135,85]",13.41421353816986,BRANCH,BRANCH
44,"[51,72]","[84,73]",32.41421353816986,BRANCH,BRANCH
45,"[51,72]","[53,94]",21.82842707633972,BRANCH,BRANCH
46,"[84,73]","[78,104]",35.38477599620819,BRANCH,BRANCH
47,"[223,82]","[211,102]",27.727921843528748,BRANCH,BRANCH
48,"[223,82]","[211,102]",27.313708305358887,BRANCH,BRANCH
49,"[132,85]","[135,85]",2.0,BRANCH,BRANCH
50,"[132,85]","[114,120]",41.455843687057495,BRANCH,BRANCH
51,"[153,84]","[135,85]",17.82842707633972,TIP,BRANCH
52,"[326,87]","[330,89]",3.8284270763397217,TIP,BRANCH
53,"[334,118]","[330,89]",32.14213538169861,TIP,BRANCH
