vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
1.598358154296875,48,162,153,4658.918286323547,30.45044631584018

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[232,1]","[218,9]",16.313708305358887,TIP,BRANCH
2,"[210,6]","[218,9]",8.242640614509583,TIP,BRANCH
3,"[218,9]","[203,71]",67.21320307254791,BRANCH,BRANCH
4,"[55,19]","[34,74]",111.18376553058624,BRANCH,BRANCH
5,"[55,19]","[60,45]",27.656854152679443,BRANCH,BRANCH
6,"[67,17]","[55,19]",12.242640614509583,TIP,BRANCH
7,"[347,24]","[326,29]",22.071067690849304,TIP,BRANCH
8,"[325,0]","[326,29]",29.656854152679443,TIP,BRANCH
9,"[326,29]","[352,141]",132.1248904466629,BRANCH,BRANCH
10,"[84,4]","[85,40]",36.24264061450958,TIP,BRANCH
11,"[85,40]","[60,45]",26.071067690849304,BRANCH,BRANCH
12,"[85,40]","[86,43]",2.0,BRANCH,BRANCH
13,"[86,43]","[104,50]",21.071067690849304,BRANCH,BRANCH
14,"[86,43]","[75,70]",30.727921843528748,BRANCH,BRANCH
15,"[60,45]","[60,48]",2.0,BRANCH,BRANCH
16,"[60,48]","[40,74]",33.870057225227356,BRANCH,BRANCH
17,"[60,48]","[75,70]",29.14213538169861,BRANCH,BRANCH
18,"[104,50]","[170,94]",180.53910398483276,BRANCH,BRANCH
19,"[151,98]","[104,50]",93.5979790687561,TIP,BRANCH
20,"[75,70]","[73,95]",24.82842707633972,BRANCH,BRANCH
21,"[189,75]","[203,71]",14.656854152679443,TIP,BRANCH
22,"[221,82]","[203,71]",21.14213538169861,TIP,BRANCH
23,"[34,74]","[40,74]",5.0,BRANCH,BRANCH
24,"[2,95]","[34,74]",39.870057225227356,TIP,BRANCH
25,"[40,74]","[43,81]",6.828427076339722,BRANCH,BRANCH
26,"[43,81]","[73,95]",34.79898953437805,BRANCH,BRANCH
27,"[43,81]","[28,118]",42.38477599620819,BRANCH,BRANCH
28,"[165,94]","[170,94]",4.0,TIP,BRANCH
29,"[172,104]","[170,94]",9.41421353816986,TIP,BRANCH
30,"[73,95]","[86,139]",48.38477599620819,BRANCH,BRANCH
31,"[13,119]","[28,118]",15.242640614509583,TIP,BRANCH
32,"[28,118]","[35,146]",29.899494767189026,BRANCH,BRANCH
33,"[86,139]","[77,162]",25.313708305358887,BRANCH,BRANCH
34,"[91,143]","[86,139]",5.2426406145095825,TIP,BRANCH
35,"[355,142]","[352,141]",2.414213538169861,TIP,BRANCH
36,"[349,145]","[352,141]",3.8284270763397217,TIP,BRANCH
37,"[35,146]","[15,167]",29.455843687057495,BRANCH,BRANCH
38,"[35,146]","[63,165]",34.455843687057495,BRANCH,BRANCH
39,"[166,143]","[169,153]",10.242640614509583,TIP,BRANCH
40,"[189,169]","[169,153]",27.38477599620819,TIP,BRANCH
41,"[166,165]","[169,153]",12.828427076339722,TIP,BRANCH
42,"[77,162]","[63,165]",13.828427076339722,BRANCH,BRANCH
43,"[77,162]","[143,281]",153.71067690849304,BRANCH,BRANCH
44,"[63,165]","[68,208]",44.899494767189026,BRANCH,BRANCH
45,"[2,162]","[15,167]",15.242640614509583,TIP,BRANCH
46,"[15,167]","[17,214]",48.485281229019165,BRANCH,BRANCH
47,"[62,210]","[68,208]",5.828427076339722,TIP,BRANCH
48,"[82,232]","[68,208]",28.38477599620819,TIP,BRANCH
49,"[408,200]","[415,210]",11.899494767189026,TIP,BRANCH
50,"[415,210]","[498,227]",138.53910398483276,BRANCH,BRANCH
51,"[344,212]","[415,210]",72.89949476718903,TIP,BRANCH
52,"[40,186]","[17,214]",38.870057225227356,TIP,BRANCH
53,"[1,238]","[17,214]",29.79898953437805,TIP,BRANCH
54,"[491,219]","[498,227]",9.485281229019165,TIP,BRANCH
55,"[498,227]","[497,229]",1.0,BRANCH,BRANCH
56,"[497,229]","[456,250]",48.69848430156708,BRANCH,BRANCH
57,"[505,251]","[497,229]",23.899494767189026,TIP,BRANCH
58,"[456,250]","[425,291]",54.012192606925964,BRANCH,BRANCH
59,"[383,228]","[456,250]",81.5269113779068,TIP,BRANCH
60,"[85,254]","[83,260]",5.828427076339722,TIP,BRANCH
61,"[66,267]","[83,260]",18.899494767189026,TIP,BRANCH
62,"[94,249]","[83,260]",38.14213538169861,TIP,BRANCH
63,"[0,304]","[20,270]",43.041630148887634,TIP,BRANCH
64,"[26,258]","[20,270]",13.656854152679443,TIP,BRANCH
65,"[20,270]","[83,307]",77.49747383594513,BRANCH,BRANCH
66,"[147,281]","[143,281]",3.0,TIP,BRANCH
67,"[106,380]","[143,281]",119.63960921764374,TIP,BRANCH
68,"[425,291]","[401,321]",42.62741661071777,BRANCH,BRANCH
69,"[473,276]","[425,291]",56.94112491607666,TIP,BRANCH
70,"[507,300]","[505,304]",3.8284270763397217,TIP,BRANCH
71,"[509,268]","[505,304]",58.94112491607666,TIP,BRANCH
72,"[510,309]","[505,304]",5.656854152679443,TIP,BRANCH
73,"[88,308]","[83,307]",4.414213538169861,TIP,BRANCH
74,"[83,307]","[60,350]",56.455843687057495,BRANCH,BRANCH
75,"[390,319]","[401,321]",10.828427076339722,TIP,BRANCH
76,"[401,321]","[418,338]",25.55634891986847,BRANCH,BRANCH
77,"[418,338]","[492,354]",82.11269783973694,BRANCH,BRANCH
78,"[415,344]","[418,338]",5.828427076339722,TIP,BRANCH
79,"[29,348]","[60,350]",31.656854152679443,TIP,BRANCH
80,"[60,350]","[65,368]",18.656854152679443,BRANCH,BRANCH
81,"[497,325]","[492,354]",39.38477599620819,TIP,BRANCH
82,"[492,354]","[488,375]",21.242640614509583,BRANCH,BRANCH
83,"[84,380]","[65,368]",23.55634891986847,TIP,BRANCH
84,"[46,397]","[65,368]",41.79898953437805,TIP,BRANCH
85,"[484,375]","[488,375]",3.0,TIP,BRANCH
86,"[470,399]","[488,375]",41.97056245803833,TIP,BRANCH
87,"[325,396]","[326,405]",8.41421353816986,TIP,BRANCH
88,"[337,410]","[326,405]",12.071067690849304,TIP,BRANCH
89,"[322,406]","[326,405]",3.414213538169861,TIP,BRANCH
90,"[445,400]","[431,424]",29.38477599620819,TIP,BRANCH
91,"[420,426]","[431,424]",10.828427076339722,TIP,BRANCH
92,"[431,424]","[433,432]",7.414213538169861,BRANCH,BRANCH
93,"[433,432]","[472,486]",78.91168737411499,BRANCH,BRANCH
94,"[433,444]","[433,432]",11.828427076339722,TIP,BRANCH
95,"[385,452]","[396,476]",31.899494767189026,TIP,BRANCH
96,"[411,475]","[396,476]",14.41421353816986,TIP,BRANCH
97,"[392,479]","[396,476]",3.8284270763397217,TIP,BRANCH
98,"[392,427]","[343,479]",84.76955199241638,TIP,BRANCH
99,"[351,482]","[343,479]",8.242640614509583,TIP,BRANCH
100,"[331,496]","[343,479]",21.14213538169861,TIP,BRANCH
101,"[472,486]","[472,497]",10.0,BRANCH,BRANCH
