vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
0.1560211181640625,1,13,8,497.3401814699173,62.16752268373966

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[506,125]","[404,197]",138.4385987520218,TIP,BRANCH
2,"[359,128]","[404,197]",89.56854152679443,TIP,BRANCH
3,"[424,220]","[404,197]",30.284270763397217,TIP,BRANCH
4,"[263,1]","[326,82]",111.78174459934235,TIP,TIP
5,"[174,35]","[196,41]",24.485281229019165,TIP,TIP
6,"[287,62]","[260,92]",42.35533845424652,TIP,TIP
7,"[20,224]","[25,239]",17.071067690849304,TIP,TIP
8,"[432,228]","[464,254]",43.35533845424652,TIP,TIP
