vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
0.11444091796875,1,19,11,332.3208485841751,30.21098623492501

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[474,12]","[485,12]",10.0,TIP,BRANCH
2,"[482,28]","[485,12]",16.242640614509583,TIP,BRANCH
3,"[488,0]","[485,12]",11.828427076339722,TIP,BRANCH
4,"[476,57]","[474,89]",33.65685415267944,TIP,TIP
5,"[336,65]","[341,67]",5.828427076339722,TIP,TIP
6,"[21,79]","[24,94]",16.242640614509583,TIP,TIP
7,"[476,120]","[496,177]",67.28427076339722,TIP,TIP
8,"[275,123]","[269,129]",9.071067690849304,TIP,TIP
9,"[345,193]","[347,199]",6.828427076339722,TIP,TIP
10,"[247,298]","[221,319]",36.455843687057495,TIP,TIP
11,"[130,342]","[229,388]",118.88224983215332,TIP,TIP
