vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
1.1566162109375,49,166,157,3289.4683713912964,20.952027843256666

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[94,2]","[114,14]",28.899494767189026,BRANCH,BRANCH
2,"[80,0]","[94,2]",13.828427076339722,TIP,BRANCH
3,"[94,2]","[114,14]",25.97056245803833,BRANCH,BRANCH
4,"[0,10]","[16,7]",16.656854152679443,TIP,BRANCH
5,"[44,1]","[16,7]",29.071067690849304,TIP,BRANCH
6,"[16,7]","[4,30]",26.55634891986847,BRANCH,BRANCH
7,"[497,1]","[496,7]",5.414213538169861,TIP,BRANCH
8,"[510,7]","[496,7]",13.828427076339722,TIP,BRANCH
9,"[475,37]","[496,7]",37.870057225227356,TIP,BRANCH
10,"[114,14]","[136,20]",23.485281229019165,BRANCH,BRANCH
11,"[201,15]","[136,20]",69.38477599620819,BRANCH,BRANCH
12,"[248,47]","[201,15]",68.04163014888763,TIP,BRANCH
13,"[208,1]","[201,15]",15.485281229019165,TIP,BRANCH
14,"[136,22]","[136,20]",1.0,TIP,BRANCH
15,"[47,28]","[4,30]",52.38477599620819,BRANCH,BRANCH
16,"[47,28]","[51,28]",3.0,BRANCH,BRANCH
17,"[47,28]","[27,47]",29.213203072547913,BRANCH,BRANCH
18,"[55,34]","[51,28]",6.656854152679443,TIP,BRANCH
19,"[51,28]","[75,28]",28.14213538169861,BRANCH,BRANCH
20,"[91,63]","[75,28]",49.11269783973694,TIP,BRANCH
21,"[75,28]","[63,50]",25.55634891986847,BRANCH,BRANCH
22,"[4,30]","[14,47]",20.727921843528748,BRANCH,BRANCH
23,"[413,0]","[411,32]",31.82842707633972,TIP,BRANCH
24,"[439,37]","[411,32]",29.899494767189026,TIP,BRANCH
25,"[395,35]","[411,32]",15.828427076339722,TIP,BRANCH
26,"[14,47]","[27,47]",12.0,BRANCH,BRANCH
27,"[14,47]","[9,76]",30.485281229019165,BRANCH,BRANCH
28,"[27,47]","[36,54]",12.071067690849304,BRANCH,BRANCH
29,"[63,50]","[36,54]",27.656854152679443,BRANCH,BRANCH
30,"[63,50]","[66,59]",8.828427076339722,BRANCH,BRANCH
31,"[36,54]","[36,66]",11.0,BRANCH,BRANCH
32,"[304,38]","[298,55]",18.485281229019165,TIP,BRANCH
33,"[319,51]","[298,55]",22.485281229019165,TIP,BRANCH
34,"[295,57]","[298,55]",2.414213538169861,TIP,BRANCH
35,"[66,59]","[76,71]",16.899494767189026,BRANCH,BRANCH
36,"[66,65]","[66,59]",5.0,TIP,BRANCH
37,"[43,93]","[36,66]",30.313708305358887,TIP,BRANCH
38,"[29,81]","[36,66]",18.313708305358887,TIP,BRANCH
39,"[76,71]","[82,71]",5.0,BRANCH,BRANCH
40,"[76,71]","[53,116]",57.62741661071777,BRANCH,BRANCH
41,"[84,68]","[82,71]",2.8284270763397217,TIP,BRANCH
42,"[82,71]","[97,83]",18.55634891986847,BRANCH,BRANCH
43,"[9,76]","[14,90]",15.656854152679443,BRANCH,BRANCH
44,"[1,79]","[9,76]",8.242640614509583,TIP,BRANCH
45,"[100,82]","[97,83]",2.414213538169861,TIP,BRANCH
46,"[97,88]","[97,83]",4.0,TIP,BRANCH
47,"[20,91]","[14,90]",5.414213538169861,TIP,BRANCH
48,"[14,90]","[7,96]",9.656854152679443,BRANCH,BRANCH
49,"[232,87]","[228,90]",4.2426406145095825,TIP,BRANCH
50,"[219,85]","[228,90]",10.071067690849304,TIP,BRANCH
51,"[245,107]","[228,90]",27.14213538169861,TIP,BRANCH
52,"[1,96]","[7,96]",5.0,TIP,BRANCH
53,"[7,96]","[6,110]",13.41421353816986,BRANCH,BRANCH
54,"[21,102]","[22,105]",2.414213538169861,TIP,BRANCH
