vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
1.477813720703125,78,202,215,4215.626875281334,19.607566861773645

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[45,3]","[3,4]",42.24264061450958,BRANCH,BRANCH
2,"[45,3]","[46,7]",3.414213538169861,BRANCH,BRANCH
3,"[45,3]","[51,4]",5.828427076339722,BRANCH,BRANCH
4,"[0,11]","[3,4]",7.2426406145095825,TIP,BRANCH
5,"[51,4]","[83,9]",33.899494767189026,BRANCH,BRANCH
6,"[51,4]","[46,7]",5.828427076339722,BRANCH,BRANCH
7,"[170,0]","[198,4]",28.656854152679443,TIP,BRANCH
8,"[226,15]","[198,4]",34.14213538169861,TIP,BRANCH
9,"[202,3]","[198,4]",3.0,TIP,BRANCH
10,"[46,7]","[28,17]",21.727921843528748,BRANCH,BRANCH
11,"[87,0]","[83,9]",9.656854152679443,TIP,BRANCH
12,"[83,9]","[75,39]",32.31370830535889,BRANCH,BRANCH
13,"[242,10]","[248,9]",5.414213538169861,TIP,BRANCH
14,"[239,45]","[248,9]",38.72792184352875,TIP,BRANCH
15,"[250,7]","[248,9]",1.4142135381698608,TIP,BRANCH
16,"[28,17]","[4,36]",37.55634891986847,BRANCH,BRANCH
17,"[28,17]","[29,30]",12.41421353816986,BRANCH,BRANCH
18,"[328,0]","[309,20]",27.455843687057495,TIP,BRANCH
19,"[298,27]","[309,20]",12.899494767189026,TIP,BRANCH
20,"[314,22]","[309,20]",4.414213538169861,TIP,BRANCH
21,"[132,21]","[134,21]",1.0,BRANCH,BRANCH
22,"[127,19]","[132,21]",4.828427076339722,TIP,BRANCH
23,"[132,24]","[132,21]",2.0,TIP,BRANCH
24,"[135,16]","[134,21]",4.414213538169861,TIP,BRANCH
25,"[142,29]","[134,21]",12.071067690849304,TIP,BRANCH
26,"[29,30]","[34,30]",4.0,BRANCH,BRANCH
27,"[26,33]","[29,30]",2.8284270763397217,TIP,BRANCH
28,"[34,30]","[37,39]",9.242640614509583,BRANCH,BRANCH
29,"[50,25]","[34,30]",16.656854152679443,TIP,BRANCH
30,"[104,27]","[103,30]",2.414213538169861,TIP,BRANCH
31,"[100,34]","[103,30]",3.8284270763397217,TIP,BRANCH
32,"[107,34]","[103,30]",4.2426406145095825,TIP,BRANCH
33,"[9,36]","[4,36]",4.828427076339722,TIP,BRANCH
34,"[135,61]","[161,37]",36.69848430156708,TIP,BRANCH
35,"[160,32]","[161,37]",4.0,TIP,BRANCH
36,"[167,33]","[161,37]",6.2426406145095825,TIP,BRANCH
37,"[37,39]","[48,47]",14.485281229019165,BRANCH,BRANCH
38,"[26,50]","[37,39]",23.242640614509583,TIP,BRANCH
39,"[62,40]","[75,39]",12.41421353816986,TIP,BRANCH
40,"[75,39]","[65,50]",17.071067690849304,BRANCH,BRANCH
41,"[399,34]","[441,40]",44.31370830535889,TIP,BRANCH
42,"[440,61]","[441,40]",20.41421353816986,TIP,BRANCH
43,"[485,0]","[441,40]",60.32590091228485,TIP,BRANCH
44,"[48,47]","[65,50]",17.242640614509583,BRANCH,BRANCH
45,"[48,47]","[39,84]",40.14213538169861,BRANCH,BRANCH
46,"[65,50]","[65,61]",10.0,BRANCH,BRANCH
47,"[205,48]","[206,57]",9.242640614509583,TIP,BRANCH
48,"[223,63]","[206,57]",18.485281229019165,TIP,BRANCH
49,"[202,57]","[206,57]",3.0,TIP,BRANCH
50,"[57,73]","[65,61]",15.485281229019165,TIP,BRANCH
51,"[65,61]","[70,76]",15.656854152679443,BRANCH,BRANCH
52,"[77,75]","[69,76]",7.414213538169861,TIP,BRANCH
53,"[65,77]","[69,76]",3.414213538169861,TIP,BRANCH
54,"[69,76]","[45,93]",32.38477599620819,BRANCH,BRANCH
55,"[108,82]","[111,82]",2.0,TIP,BRANCH
56,"[110,50]","[111,82]",75.76955199241638,TIP,BRANCH
57,"[39,84]","[40,92]",7.414213538169861,BRANCH,BRANCH
58,"[42,79]","[39,84]",4.828427076339722,TIP,BRANCH
59,"[35,92]","[40,92]",4.0,TIP,BRANCH
60,"[40,92]","[45,93]",4.0,BRANCH,BRANCH
61,"[45,93]","[46,106]",12.41421353816986,BRANCH,BRANCH
62,"[1,99]","[11,99]",9.828427076339722,TIP,BRANCH
63,"[11,99]","[11,104]",4.0,BRANCH,BRANCH
64,"[0,58]","[11,99]",52.870057225227356,TIP,BRANCH
65,"[11,104]","[4,109]",8.656854152679443,BRANCH,BRANCH
66,"[25,111]","[11,104]",15.485281229019165,TIP,BRANCH
67,"[98,41]","[46,106]",102.66904675960541,TIP,BRANCH
68,"[46,106]","[32,122]",21.55634891986847,BRANCH,BRANCH
69,"[418,94]","[353,107]",72.69848430156708,TIP,BRANCH
70,"[353,107]","[349,112]",5.656854152679443,BRANCH,BRANCH
71,"[352,105]","[353,107]",1.0,TIP,BRANCH
72,"[1,116]","[4,109]",7.2426406145095825,TIP,BRANCH
73,"[0,104]","[4,109]",5.2426406145095825,TIP,BRANCH
74,"[301,109]","[308,111]",6.828427076339722,TIP,BRANCH
75,"[308,111]","[317,118]",12.071067690849304,BRANCH,BRANCH
76,"[351,58]","[308,111]",70.56854152679443,TIP,BRANCH
77,"[349,112]","[317,118]",33.485281229019165,BRANCH,BRANCH
78,"[349,117]","[349,112]",4.0,TIP,BRANCH
79,"[139,108]","[136,116]",8.242640614509583,TIP,BRANCH
80,"[132,116]","[136,116]",3.0,TIP,BRANCH
81,"[136,116]","[153,143]",35.79898953437805,BRANCH,BRANCH
82,"[320,137]","[317,118]",20.656854152679443,TIP,BRANCH
83,"[96,117]","[91,120]",5.2426406145095825,TIP,BRANCH
84,"[90,123]","[91,120]",2.414213538169861,TIP,BRANCH
85,"[89,101]","[91,120]",18.41421353816986,TIP,BRANCH
86,"[462,116]","[463,121]",4.414213538169861,TIP,BRANCH
87,"[511,117]","[463,121]",50.31370830535889,TIP,BRANCH
88,"[447,133]","[463,121]",20.55634891986847,TIP,BRANCH
89,"[29,118]","[32,122]",4.828427076339722,TIP,BRANCH
90,"[32,122]","[53,145]",33.041630148887634,BRANCH,BRANCH
91,"[58,122]","[53,123]",4.414213538169861,TIP,BRANCH
92,"[49,122]","[53,123]",3.414213538169861,TIP,BRANCH
93,"[53,123]","[53,145]",22.656854152679443,BRANCH,BRANCH
94,"[146,141]","[153,143]",6.828427076339722,TIP,BRANCH
95,"[153,143]","[192,143]",40.899494767189026,BRANCH,BRANCH
96,"[208,135]","[192,143]",18.899494767189026,TIP,BRANCH
97,"[192,143]","[187,158]",16.071067690849304,BRANCH,BRANCH
98,"[53,145]","[55,149]",3.8284270763397217,BRANCH,BRANCH
99,"[103,145]","[92,147]",10.828427076339722,TIP,BRANCH
100,"[86,129]","[92,147]",22.656854152679443,TIP,BRANCH
101,"[92,147]","[110,150]",24.727921843528748,BRANCH,BRANCH
102,"[67,147]","[55,149]",12.656854152679443,TIP,BRANCH
103,"[55,149]","[55,152]",2.0,BRANCH,BRANCH
104,"[112,144]","[110,150]",7.828427076339722,TIP,BRANCH
105,"[108,148]","[110,150]",1.4142135381698608,TIP,BRANCH
106,"[55,152]","[68,179]",33.14213538169861,BRANCH,BRANCH
