vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
1.88446044921875,83,152,201,5497.567123770714,27.351080217764746

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[87,7]","[62,34]",41.041630148887634,BRANCH,BRANCH
2,"[90,15]","[87,7]",8.242640614509583,TIP,BRANCH
3,"[90,5]","[87,7]",2.414213538169861,TIP,BRANCH
4,"[400,1]","[418,13]",22.55634891986847,TIP,BRANCH
5,"[418,13]","[472,20]",56.72792184352875,BRANCH,BRANCH
6,"[418,13]","[398,33]",30.97056245803833,BRANCH,BRANCH
7,"[161,14]","[156,15]",4.414213538169861,TIP,BRANCH
8,"[152,33]","[156,15]",18.656854152679443,TIP,BRANCH
9,"[122,0]","[156,15]",38.79898953437805,TIP,BRANCH
10,"[508,45]","[472,20]",49.455843687057495,TIP,BRANCH
11,"[472,20]","[470,47]",26.82842707633972,BRANCH,BRANCH
12,"[342,29]","[342,31]",1.0,TIP,BRANCH
13,"[358,40]","[342,31]",18.727921843528748,TIP,BRANCH
14,"[342,31]","[321,54]",33.79898953437805,BRANCH,BRANCH
15,"[53,5]","[50,33]",28.242640614509583,TIP,BRANCH
16,"[50,33]","[62,34]",11.41421353816986,BRANCH,BRANCH
17,"[46,46]","[50,33]",13.242640614509583,TIP,BRANCH
18,"[398,33]","[406,67]",36.31370830535889,BRANCH,BRANCH
19,"[392,0]","[398,33]",41.62741661071777,TIP,BRANCH
20,"[72,55]","[62,34]",27.899494767189026,TIP,BRANCH
21,"[283,37]","[285,44]",6.828427076339722,TIP,BRANCH
22,"[285,44]","[309,55]",27.55634891986847,BRANCH,BRANCH
23,"[265,54]","[285,44]",23.14213538169861,TIP,BRANCH
24,"[470,47]","[433,50]",39.72792184352875,BRANCH,BRANCH
25,"[470,47]","[471,56]",8.0,BRANCH,BRANCH
26,"[435,38]","[433,50]",12.656854152679443,TIP,BRANCH
27,"[433,50]","[409,67]",31.79898953437805,BRANCH,BRANCH
28,"[321,54]","[309,55]",11.41421353816986,BRANCH,BRANCH
29,"[336,58]","[321,54]",15.242640614509583,TIP,BRANCH
30,"[291,90]","[309,55]",41.455843687057495,TIP,BRANCH
31,"[471,56]","[501,82]",49.14213538169861,BRANCH,BRANCH
32,"[471,56]","[468,83]",26.82842707633972,BRANCH,BRANCH
33,"[406,67]","[409,67]",2.0,BRANCH,BRANCH
34,"[406,67]","[338,117]",100.18376553058624,BRANCH,BRANCH
35,"[409,67]","[425,86]",25.79898953437805,BRANCH,BRANCH
36,"[501,82]","[469,85]",32.24264061450958,BRANCH,BRANCH
37,"[501,82]","[475,115]",46.69848430156708,BRANCH,BRANCH
38,"[456,83]","[468,83]",11.0,BRANCH,BRANCH
39,"[447,70]","[456,83]",15.313708305358887,TIP,BRANCH
40,"[456,83]","[425,86]",30.82842707633972,BRANCH,BRANCH
41,"[468,83]","[469,85]",1.0,BRANCH,BRANCH
42,"[469,85]","[475,115]",32.071067690849304,BRANCH,BRANCH
43,"[425,86]","[419,107]",22.485281229019165,BRANCH,BRANCH
44,"[419,107]","[384,125]",43.79898953437805,BRANCH,BRANCH
45,"[419,107]","[474,129]",62.69848430156708,BRANCH,BRANCH
46,"[29,0]","[18,112]",131.35533845424652,TIP,BRANCH
47,"[5,109]","[18,112]",13.242640614509583,TIP,BRANCH
48,"[18,112]","[23,122]",11.071067690849304,BRANCH,BRANCH
49,"[475,115]","[474,129]",13.41421353816986,BRANCH,BRANCH
50,"[338,117]","[325,144]",31.55634891986847,BRANCH,BRANCH
