vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
0.3231048583984375,6,48,33,954.803165435791,28.93342925563003

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[108,51]","[81,99]",58.18376553058624,TIP,BRANCH
2,"[74,101]","[81,99]",6.828427076339722,TIP,BRANCH
3,"[81,105]","[81,99]",5.0,TIP,BRANCH
4,"[284,67]","[251,99]",47.012192606925964,TIP,BRANCH
5,"[247,100]","[251,99]",3.414213538169861,TIP,BRANCH
6,"[251,99]","[248,115]",16.242640614509583,BRANCH,BRANCH
7,"[246,116]","[248,115]",1.4142135381698608,TIP,BRANCH
8,"[231,194]","[248,115]",88.35533845424652,TIP,BRANCH
9,"[173,224]","[164,225]",8.41421353816986,TIP,BRANCH
10,"[151,221]","[164,225]",13.656854152679443,TIP,BRANCH
11,"[165,239]","[164,225]",13.41421353816986,TIP,BRANCH
12,"[89,250]","[90,267]",16.41421353816986,TIP,BRANCH
13,"[105,269]","[90,267]",15.656854152679443,TIP,BRANCH
14,"[85,275]","[90,267]",8.656854152679443,TIP,BRANCH
15,"[157,304]","[149,337]",35.31370830535889,TIP,BRANCH
16,"[134,338]","[149,337]",14.41421353816986,TIP,BRANCH
17,"[151,363]","[149,337]",25.82842707633972,TIP,BRANCH
18,"[256,0]","[321,78]",111.95331752300262,TIP,TIP
19,"[0,8]","[21,11]",23.071067690849304,TIP,TIP
20,"[62,21]","[49,26]",15.071067690849304,TIP,TIP
21,"[160,29]","[192,41]",36.97056245803833,TIP,TIP
22,"[7,36]","[2,37]",5.414213538169861,TIP,TIP
23,"[59,57]","[55,72]",17.485281229019165,TIP,TIP
24,"[194,110]","[164,116]",32.485281229019165,TIP,TIP
25,"[1,124]","[17,129]",18.071067690849304,TIP,TIP
26,"[360,129]","[411,207]",102.0538227558136,TIP,TIP
27,"[23,167]","[25,171]",4.828427076339722,TIP,TIP
28,"[8,209]","[24,241]",39.455843687057495,TIP,TIP
29,"[116,212]","[128,215]",14.071067690849304,TIP,TIP
30,"[448,244]","[501,286]",71.56854152679443,TIP,TIP
31,"[310,255]","[303,270]",17.899494767189026,TIP,TIP
32,"[22,321]","[0,344]",35.041630148887634,TIP,TIP
33,"[67,482]","[57,509]",31.14213538169861,TIP,TIP
