vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
0.2063751220703125,3,13,11,594.445739030838,54.040521730076186

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[511,465]","[471,486]",50.041630148887634,TIP,BRANCH
2,"[471,486]","[457,502]",21.97056245803833,BRANCH,BRANCH
3,"[455,321]","[471,486]",171.87005722522736,TIP,BRANCH
4,"[457,502]","[430,504]",26.82842707633972,BRANCH,BRANCH
5,"[469,511]","[457,502]",14.313708305358887,TIP,BRANCH
6,"[396,413]","[430,504]",104.49747383594513,TIP,BRANCH
7,"[419,511]","[430,504]",12.485281229019165,TIP,BRANCH
8,"[503,305]","[499,311]",7.656854152679443,TIP,TIP
9,"[501,378]","[496,385]",9.656854152679443,TIP,TIP
10,"[286,465]","[403,511]",136.0538227558136,TIP,TIP
11,"[510,507]","[474,511]",39.071067690849304,TIP,TIP
