vaf(%),branch points count,tip point count,vein count,total vein length,average vein length
1.70135498046875,65,158,175,4913.717275857925,28.07838443347386

id,"p1.x, p1.y","p2.x, p2.y",length,p1_type,p2_type
1,"[79,0]","[57,6]",23.485281229019165,TIP,BRANCH
2,"[55,13]","[57,6]",6.828427076339722,TIP,BRANCH
3,"[30,92]","[57,6]",126.25483322143555,TIP,BRANCH
4,"[297,1]","[305,6]",9.071067690849304,TIP,BRANCH
5,"[305,6]","[307,26]",19.82842707633972,BRANCH,BRANCH
6,"[312,1]","[305,6]",7.656854152679443,TIP,BRANCH
7,"[321,15]","[345,12]",28.727921843528748,TIP,BRANCH
8,"[345,12]","[410,12]",69.79898953437805,BRANCH,BRANCH
9,"[345,12]","[352,62]",58.870057225227356,BRANCH,BRANCH
10,"[410,12]","[442,14]",40.11269783973694,BRANCH,BRANCH
11,"[410,12]","[420,28]",22.071067690849304,BRANCH,BRANCH
12,"[442,14]","[480,18]",39.485281229019165,BRANCH,BRANCH
13,"[442,14]","[442,25]",10.0,BRANCH,BRANCH
14,"[480,18]","[480,42]",23.0,BRANCH,BRANCH
15,"[498,13]","[480,18]",18.656854152679443,TIP,BRANCH
16,"[442,25]","[420,28]",22.242640614509583,BRANCH,BRANCH
17,"[442,25]","[453,45]",23.14213538169861,BRANCH,BRANCH
18,"[307,26]","[277,29]",31.485281229019165,BRANCH,BRANCH
19,"[320,33]","[307,26]",14.485281229019165,TIP,BRANCH
20,"[420,28]","[453,45]",57.870057225227356,BRANCH,BRANCH
21,"[272,11]","[277,29]",18.656854152679443,TIP,BRANCH
22,"[275,30]","[277,29]",1.0,TIP,BRANCH
23,"[480,42]","[453,45]",27.242640614509583,BRANCH,BRANCH
24,"[480,42]","[483,45]",2.8284270763397217,BRANCH,BRANCH
25,"[507,45]","[483,45]",24.656854152679443,TIP,BRANCH
26,"[483,45]","[484,85]",40.24264061450958,BRANCH,BRANCH
27,"[352,62]","[449,106]",119.78174459934235,BRANCH,BRANCH
